,places_name,road_address_name,lat,lng,distance,category_group_name
176,세븐일레븐 당산3호점,서울 영등포구 영등포로 157,126.8990583879804,37.52106538761434,246,편의점
177,세븐일레븐 당산리슈빌점,서울 영등포구 당산로28길 15,126.898412178644,37.5246138814861,237,편의점
178,씨스페이스 당산점,서울 영등포구 영등포로 130,126.895740739323,37.5209210482178,235,편의점
179,GS25 압구정신사점,서울 강남구 도산대로33길 8,127.030226098835,37.5212118737863,172,편의점
180,CU 신사강남점,서울 강남구 논현로151길 7,127.02746107404428,37.52030523908866,297,편의점
181,GS25 압구정화인점,서울 강남구 논현로155길 8,127.027321389394,37.5219081555914,186,편의점
182,GS25 압구정유림점,서울 강남구 압구정로28길 49,127.027720143867,37.5234289551194,166,편의점
183,CU 압구정신사점,서울 강남구 논현로158길 7,127.029063591686,37.5221996646116,44,편의점
184,GS25 신사중앙점,서울 강남구 언주로153길 13,127.032090887876,37.5224835977168,250,편의점
185,세븐일레븐 압구정본점,서울 강남구 논현로157길 26,127.02593687024,37.5222039966436,296,편의점
186,GS25 압구정CGV점,서울 강남구 압구정로32길 49,127.029888004875,37.5243979050423,210,편의점
187,CU 신사중앙점,서울 강남구 논현로152길 38,127.03128506911,37.521575603171,209,편의점
188,세븐일레븐 리갈펠리스점,서울 강남구 도산대로35길 46,127.030715822853,37.5237453669077,183,편의점
189,미니스톱 신사제일점,서울 강남구 논현로 808,127.028434141686,37.5209203938505,196,편의점
190,CU 압구정CGV점,서울 강남구 압구정로30길 45,127.029643661782,37.5244231946892,209,편의점
191,GS25 신사증권점,서울 강남구 압구정로30길 65,127.029208722242,37.5230537793076,54,편의점
192,세븐일레븐 압구정2점,서울 강남구 압구정로28길 28,127.0275849008041,37.5248057184672,289,편의점
193,세븐일레븐 압구정칼릭스점,서울 강남구 논현로164길 38,127.031222166736,37.5226460110351,173,편의점
194,IGA마트 압구정역점,서울 강남구 도산대로27길 40,127.027665453966,37.5223729928997,163,편의점
195,세븐일레븐 신사한나래점,서울 강남구 논현로159길 10,127.027326333604,37.523057833843,200,편의점
196,GS25 영등포시장역점,서울 영등포구 영중로 65,126.904528658524,37.5221718621121,35,편의점
197,이마트24 영등포영중점,서울 영등포구 양산로 180,126.902947316001,37.5229544453048,166,편의점
198,CU 영등포메인점,서울 영등포구 영등포로 199,126.90381609967,37.5203188227414,250,편의점
199,GS25 영등포영림점,서울 영등포구 영중로 52-1,126.905163816451,37.5208533061443,181,편의점
200,GS25 영등포청과점,서울 영등포구 영신로 175,126.901662787536,37.5233876658613,290,편의점
201,GS25 영등포현대점,서울 영등포구 영등포로33길 3-1,126.902362937635,37.5208546279838,274,편의점
202,이지마트,서울 영등포구 영등포로35길 9,126.904095761135,37.5210038121582,170,편의점
203,GS25 영등포흥국점,서울 영등포구 버드나루로2길 7,126.913360321905,37.5210659327129,260,편의점
204,GS25 청담우리본점,서울 강남구 학동로77길 18,127.048903859533,37.5198613206876,277,편의점
205,이마트24 논현청학점,서울 강남구 도산대로 232,127.032261884384,37.5202742922191,250,편의점
206,CU 강남소망점,서울 강남구 언주로159길 10,127.032078181788,37.5245126587885,294,편의점
207,세븐일레븐 영등포영신점,서울 영등포구 영등포로36길 3,126.90385703534024,37.51971248123042,262,편의점
208,CU 영신점,서울 영등포구 영등포로 225,126.907043090498,37.5196726845874,267,편의점
209,이마트24 상현1호점,서울 강남구 도산대로19길 49,127.024049812395,37.5216926264087,275,편의점
210,GS25 신사성원점,서울 강남구 도산대로11길 34,127.022488122626,37.5196891035343,273,편의점
